,time_in_cycles,voltmean_24h,rotatemean_24h,pressuremean_24h,vibrationmean_24h,voltsd_24h,rotatesd_24h,pressuresd_24h,vibrationsd_24h,voltmean_5d,rotatemean_5d,pressuremean_5d,vibrationmean_5d,voltsd_5d,rotatesd_5d,pressuresd_5d,vibrationsd_5d,error1,error2,error3,error4,error5,comp1,comp2,comp3,comp4,model,age,DI,RULWeek,RUL,RUL_I
time_in_cycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
voltmean_24h,0.018049338479922298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rotatemean_24h,-0.02384426332308931,-0.004837610680156301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pressuremean_24h,0.014482632831254325,-0.003566209847393588,-0.006234760681539161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vibrationmean_24h,0.028938077881034786,-0.006982462438413985,-0.01535737049097361,-0.003455488569548883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
voltsd_24h,0.0034063783515474923,0.0688301456282236,6.890963653918584e-05,0.005544990132162621,-0.006678747536621231,,,,,,,,,,,,,,,,,,,,,,,,,,,
rotatesd_24h,0.0082079150661374,-0.00629170019203815,-0.12550847896047823,-0.0005715715547136963,-0.0007062984827036844,-0.009147420919622912,,,,,,,,,,,,,,,,,,,,,,,,,,
pressuresd_24h,0.01014647222516963,-0.0009020302684870638,0.005345635041976006,0.23496132636559808,-0.009332540602262166,0.004802536691290966,0.0039567993562061666,,,,,,,,,,,,,,,,,,,,,,,,,
vibrationsd_24h,0.018354976233292786,-0.007999893914907361,-0.0009913485455309704,0.009539638753787718,0.16728335128649255,0.003895770566450886,-0.019095792932906763,0.007411571100913621,,,,,,,,,,,,,,,,,,,,,,,,
voltmean_5d,0.010017295623312009,0.4937614644376816,-0.009296733109895374,-0.023254418482939677,-0.014830331238622627,0.055358178532340804,-0.0003179640432076293,-0.0034583689910564945,-0.005852564398471757,,,,,,,,,,,,,,,,,,,,,,,
rotatemean_5d,-0.01766497408907044,-0.013464084767893,0.4962382759129609,-0.003753621219934841,0.002839798338906866,0.003935756689441552,-0.11274384213126945,-0.0004908726781298049,-0.006440136622350506,-0.019994242191726214,,,,,,,,,,,,,,,,,,,,,,
pressuremean_5d,0.010141466035974394,-0.008182376612489817,-0.004185304747708207,0.5242626851314597,-0.003571314232473852,0.010664161799954308,0.004023266416377502,0.20908256706606623,0.00028737389826635025,-0.02722101982330115,-0.0005436792505960946,,,,,,,,,,,,,,,,,,,,,
vibrationmean_5d,0.02962284394657719,-0.008951655296685734,-0.010128686211103285,0.007409413171900605,0.5056971809423039,0.005477364454932061,-0.0040926104672455305,-0.005264343426960647,0.12862251884436204,-0.02483872976528283,-0.01166273219377918,0.0056401075830276115,,,,,,,,,,,,,,,,,,,,
voltsd_5d,0.010588904468982464,0.4035845374746815,-0.0154147651668389,-0.014776871079056167,-0.011184141325135451,0.05568816310023291,0.0033287152880701605,-0.012332470083339764,-0.0009462747148944456,0.7359052848988968,-0.018589935984777452,-0.018123014114044378,-0.014821203231613189,,,,,,,,,,,,,,,,,,,
rotatesd_5d,0.0264801994374841,0.005001690395389841,-0.43598592723797214,-0.005900780577747238,-0.008412659989679806,-0.0018418265378298206,0.11147336584867924,-0.004880883639913963,0.006576999110971787,0.016084391449592485,-0.7926810051364072,-0.008168240786034654,0.00655558808349819,0.02468774410636188,,,,,,,,,,,,,,,,,,
pressuresd_5d,0.003932453037506236,-0.010762843716645749,-0.00220453961338158,0.5204826554515751,-0.005935978955113648,0.012515313685301205,0.005040055980341351,0.20366398834821642,0.004693500859760992,-0.025958450825716357,0.0026836336081808155,0.8823470193274556,0.007818856516711093,-0.013167803972363588,-0.011177370304210484,,,,,,,,,,,,,,,,,
vibrationsd_5d,0.052584830219861704,-0.013364638115345115,-0.00824588909298339,0.00216894911322035,0.4849725563344748,0.006690522247649997,-0.004460748321418757,0.0008064745926937251,0.1277327364751015,-0.021847916822093597,-0.010199397002124699,0.0008258986975223967,0.8471580277937032,-0.006996733068083156,0.0056624113631517075,0.0006224520889136157,,,,,,,,,,,,,,,,
error1,-0.00454623585268394,0.11973945674764637,-0.017342728615765093,-0.0006626571549942541,0.013838718781276568,0.010029951998543885,-0.005876315731706892,-0.005461747037749173,-0.000923247764845725,0.07402190567998243,-0.010915733161504257,-0.005667891022018093,0.01706748192299245,0.08426968053661421,0.005301759393954106,-0.007961127587349981,0.010591847148428405,,,,,,,,,,,,,,,
error2,0.02905193597419893,-0.0033786664965882044,-0.1616308163963752,0.0029426122760937913,0.006120476491239714,-0.008541190565532255,-0.002568125156379244,-0.009862383279311335,0.002087913191875911,-0.001210609577909608,-0.09788824971735789,-0.0026684187095064923,0.0007250051610986122,0.003522414363922865,0.10413849062914056,-0.004552939664613631,0.00331029828563635,-0.0028621076104156937,,,,,,,,,,,,,,
error3,0.005963107452520032,0.008503221190720157,-0.19547301294375727,0.0034710634485453605,0.01800076651906452,-0.012963860862242988,0.00949742277050099,0.0009788364361364911,0.000912036107270435,0.005012590784802381,-0.11373817970572621,0.01350566449098832,0.007594162915956393,0.009213299918643732,0.12160191212819221,0.013164382504387485,0.004516279419587735,0.008922944802250055,0.24407203528487093,,,,,,,,,,,,,
error4,-0.0002853088905759848,0.0020113290047058,-0.009681711349968314,0.11384295975790783,-0.004370700881805153,-0.006945182488943426,0.004564821894669087,-0.013467095081322808,-0.00458593668147182,-0.010775488670026314,-0.009857402541913267,0.06367713581579568,-0.0021443836587840153,-0.00927826106757325,-0.0002049743160273162,0.07255744016444378,-0.0013414520087412262,0.0018457720941287951,0.03566078277169238,0.007327301053456044,,,,,,,,,,,,
error5,0.009398741110184784,0.006151645411430578,-0.020574959941386042,0.00425422410349358,0.21433787640659988,0.007270060622890245,0.0031336916365612413,0.00031094035822364373,-0.00960113644495517,-0.005592693679642874,-0.008321934921973764,-0.003735885202051659,0.12053783874794087,-0.0009675588831097597,0.005943803607811141,-0.0012693945313433145,0.13613571822929435,0.007357004502325662,0.017854759250144965,0.02189694692440189,0.0048263715011375346,,,,,,,,,,,
comp1,0.03397438516623144,0.03291512217462231,0.012538097241799011,0.0093863395254037,-0.004843929514937321,0.02346267021678946,-0.012657363179150895,0.010433540346160652,0.006625189120627709,0.09205170701541927,-0.0015372169551695965,0.005137713253980304,0.0004626752389135411,0.08081708183723857,0.003134079288461761,0.006070111100254467,-0.0025309175483761723,-0.006205790770023877,0.0060422176962477295,-0.007472138673854128,-0.003944369914370958,0.0043341899150620335,,,,,,,,,,
comp2,0.03255927920477426,0.0008124153369709614,-0.04761826843114343,0.002471407724763658,0.001979397540906713,0.0017458254277638848,0.06898881114477329,0.024858784458148493,0.008082817525654765,0.021187771182189317,-0.12757899080356033,0.02457645194006103,0.011105743237601058,0.01287685184813424,0.09669689466863221,0.021149545376036482,0.007175150896486608,0.012186081929139553,-0.008013770760403265,-0.005960077124672547,-0.0010375339527537808,-0.005512808994463295,0.11925277214699997,,,,,,,,,
comp3,0.024711413325973153,0.0057302224376952916,-0.004402655053378263,0.018843404602213454,0.010514146496235822,0.007896215182048142,0.0039962054447309795,0.06270570552754869,-0.004489681179121746,0.01253460304376199,-0.017774739753678985,0.06495136918892701,0.007577156403539168,0.012427756822281439,0.011049477941520417,0.0562243923839336,0.007816394835906154,-0.0042314357209931475,-0.011458635582809953,-0.002871032199206664,0.011809735411975008,-0.003945256516364717,0.16097833070276593,0.13587741102449352,,,,,,,,
comp4,0.02934005812286456,-0.001247905511360422,-0.0036578125088652866,-0.0035735555575338086,0.027317828963551612,9.91853131902305e-05,0.018260473752383762,0.01376083541630597,0.05163438648705652,0.01045632524436884,-0.024098105520068986,0.007635477120297132,0.07893514829170577,0.0017792434379454054,0.010858264948948095,0.00888053862808255,0.06848272324748442,-0.0031769244911232903,-0.010775509254337004,-0.004775296656189911,0.007317848654432982,-0.008038405378114209,0.1600199081028283,0.20791904237264458,0.20006055526320785,,,,,,,
model,-0.009947970756395577,0.011622943568152045,-0.006001943332638601,-0.04739251223440463,-0.0036551719780253027,-0.005906433285396385,0.0020451662980791934,-0.0169783637768962,0.01536546960220775,0.015249003082137686,-0.007940444231001442,-0.07158124299187124,-0.005862377022607733,0.00769711081151676,0.014119572045887928,-0.06908613898824868,-0.0009238746329315754,0.005927185982504221,0.010957898538104336,0.007340705158303369,-0.026783246647816287,-0.00669745935069016,0.033140543753529546,0.021592217369142408,0.02102309553332571,0.02456972902795768,,,,,,
age,0.05243891107569485,-0.012708722816276944,0.0006294689259976669,-0.0061987020828915065,0.02984039446226594,0.004326622508614818,0.003601779732555907,-0.014998509255684007,0.004944032653798677,-0.023025010475896654,-0.0024457718479802865,-0.009140546086268068,0.0524356839708777,-0.009450403504163183,-0.0010219698417657389,-0.005388880845084935,0.05262265900415469,-0.02212590563218486,-0.0005964992303010481,-0.008904500919383777,0.003925142632763392,0.033472595621831004,-0.020467703405672128,-0.020660935230768382,-0.02796568808423185,-0.014057763072436393,-0.15782550566982873,,,,,
DI,-0.2298033774874262,-0.027586499785305675,0.04172251070168052,-0.05983412369918164,-0.05510759283052698,-0.0030302588050105097,-0.020948206063943646,-0.027115789721896336,-0.030902193951744605,0.048496811229060646,-0.05639515306357293,-0.017090638269005743,0.017130514766263365,0.031136144938486956,0.06312627573582777,-0.01543512939498971,0.010172476531087393,-0.0158284412692398,-0.022952709206617655,-0.020529746700009736,-0.0230651108146252,-0.047823865787101176,-0.08271723839394256,-0.08466578329436444,-0.07539552216102398,-0.08177811504283353,0.05266492569659885,-0.09246131591728829,,,,
RULWeek,0.22179411569058732,0.02395822060713203,-0.0240440939252411,0.02141851622758214,0.019494917751937374,0.005333970096727048,0.0028034242135007363,0.01663940498850919,0.01874022485418396,-0.015630970667576512,0.02497906792114967,0.002779294633836023,-0.014299178189111342,-0.015730060980473307,-0.025726659395137182,0.004922296220553168,-0.00259288411409294,0.02074592446835343,0.018140360236306694,0.007990147028827173,0.011250470395317548,0.016697023675012343,0.13104591456787662,0.10832909389572848,0.1100680469317735,0.11578223204163464,0.2508021624900232,-0.20982629331351305,-0.6479087911477784,,,
RUL,0.22205576984906455,0.02313547762565728,-0.023126310555862686,0.02053949462511163,0.01896882113413687,0.0061710215759203805,0.0027685661774583567,0.016453235278646894,0.018652225320007244,-0.01789296782215149,0.02846488604214393,0.0011371565297092292,-0.01646510448257104,-0.017882085284780497,-0.02903857921231263,0.003359717061507293,-0.004677648958093111,0.0195252229481262,0.016519219082928385,0.0063571139024117835,0.010657440072684458,0.015306207477288506,0.13009906862109302,0.10738810653096685,0.10867140888485324,0.11471830901178544,0.2510852690054208,-0.2100458765765092,-0.6505514480789639,0.9987683366886585,,
RUL_I,-0.19870563226626206,-0.04077924267517027,0.06424635988686335,-0.04670061205761195,-0.04196894028450069,-0.008795783272523927,-0.029794366403078917,-0.022134491044701773,-0.016253344363464595,-0.014772992755436686,0.03922903803271126,-0.04091868353087858,-0.021367435166102733,-0.02717836960612939,-0.0341151704595246,-0.04202414026307289,-0.03092135498265506,-0.020756155344805804,-0.0318936150596239,-0.03361003120131169,-0.021647755572163495,-0.0398536754137208,-0.019746825921846147,-0.022248169251050963,-0.024634559297969493,-0.01686958757693256,0.25108526900542116,-0.21004587657650853,0.343419859914579,-0.003793676603506442,-0.004082257139020392,
